source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,source_name,target_name,source_name_norm,target_name_norm,source_id,target_id,edge_id
Microsoft Corp,Company,USES,Azure AI infrastructure,Technology,gold12::c0000,2023-05-01,Microsoft Corp uses Azure AI infrastructure to train and deploy machine-learning systems.,1.0,Microsoft,Azure AI infrastructure,microsoft,azure ai infrastructure,fb0f4df56fab164ec48722f0,b047876f9b6da8bf20376c53,98fb0459fa706f3faa778697cdbb3498
Microsoft Corp,Company,USES,Azure,Technology,gold12::c0000,2023-05-01,Microsoft described Azure as a core technology supporting its partnerships and enterprise artificial-intelligence products.,1.0,Microsoft,Azure,microsoft,azure,fb0f4df56fab164ec48722f0,e01a6348ff22776e0ca8e85c,0fcaa57cb7f69d2064526d5b99194a3f
Meta Platforms Inc,Company,USES,PyTorch,Technology,gold13::c0000,2023-09-01,Meta Platforms Inc uses PyTorch for artificial-intelligence research and production.,1.0,Meta,PyTorch,meta,pytorch,6dbfdfc5a4e8df3668a4dac3,5b7a55c107219d318b6607be,e2b52b404296d9ed9df2002f367eb71e
Meta Platforms Inc,Company,DEVELOPED,PyTorch,Technology,gold13::c0000,2023-09-01,The company developed the open-source technology internally,1.0,Meta,PyTorch,meta,pytorch,6dbfdfc5a4e8df3668a4dac3,5b7a55c107219d318b6607be,5610bd3e393dbb8ea30e3fb69a9a0ec1
GOOG,Company,PARTNERED_WITH,Anthropic,Company,gold14::c0000,2023-11-08,GOOG partnered with Anthropic to use Google Cloud infrastructure,1.0,Google,Anthropic,google,anthropic,0e132222d1315530d6efca52,9c282c38e493c826ee79d229,af97651d93ce23fdc7af288a8cac62a9
GOOG,Company,INVESTED_IN,Anthropic,Company,gold14::c0000,2023-11-08,The agreement followed Google's investment,1.0,Google,Anthropic,google,anthropic,0e132222d1315530d6efca52,9c282c38e493c826ee79d229,4b5926f5bbc72021d9dec067f6cc02f0
GreenPages,Company,ACQUIRED,Zanaris,Company,65c63ea2f187c085a866f683::c0000,2023-05-02,In February GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm ...,1.0,GreenPages,Zanaris,greenpages,zanaris,0430a89df77e6234ef375307,d00f157aa6483414b0dba69f,a510d3b7ef3ddec222a7fa4edd37f575
Senseonics,Company,DEVELOPED,Eversense,Technology,65c63ea9f187c085a866f68b::c0000,2023-06-26,Senseonics (NYSE:SENS) today announced positive data highlighting the effectiveness of its Eversense continuous glucose monitor (CGM).,1.0,Senseonics,Eversense,senseonics,eversense,1f3127a610d6e0ed86a0de7e,62c5d015d1cbf2af2fa19841,8463f2042a70bbfea6c9f2f6ce59f22c
MathWorks,Company,PARTNERED_WITH,Green Hills Software,Company,65c63eaaf187c085a866f68f::c0000,2023-03-14,MathWorks the leading developer of mathematical computing software and Green Hills Software the worldwide leader in embedded software safety and security announced an integration,0.9,MathWorks,Green Hills Software,mathworks,green hills software,1fef4ceb77af57542f40d57e,d89c5bdda51842095dcf4d5d,ea5a26b545dba18d2a74d31b08d05502
Infineon AURIX™ TC4x,Technology,USES,Simulink ®,Technology,65c63eaaf187c085a866f68f::c0000,2023-03-14,design safety-related applications for the Infineon AURIX™ TC4x family of automotive microcontrollers using Simulink ®.,0.9,Infineon AURIX™ TC4x,Simulink ®,infineon aurixtm tc4x,simulink,6656d7b772ad207412937937,25b5414edd691ed016e00911,574cfbf7e4f214c698234f956e453ff1
onsemi,Company,PARTNERED_WITH,Sineng Electric,Company,65c63ea1f187c085a866f680::c0000,2023-05-16,Sineng Electric will integrate onsemi EliteSiC silic,0.9,onsemi,Sineng Electric,onsemi,sineng electric,c2d0ae15a3749683eeed733f,b1d4bcc3cf0bdd464cb971b3,5da05688953c4753bd16f8c5e340bdc7
Apple,Company,PARTNERED_WITH,Disney,Company,65c63ea9f187c085a866f68c::c0000,2023-07-09,including Apple Disney and ESPN decides they want a piece of the pie.,0.8,Apple,Disney,apple,disney,e6c3db5c28c9a15bfafd2e04,b9aa51590a1f9be00427401b,c9cc8b965ed50a6096d65e524c5b0d1f
Apple,Company,PARTNERED_WITH,ESPN,Company,65c63ea9f187c085a866f68c::c0000,2023-07-09,including Apple Disney and ESPN decides they want a piece of the pie.,0.8,Apple,ESPN,apple,espn,e6c3db5c28c9a15bfafd2e04,743e8575f76a282c9989137d,7a8da46eb56a1cea1a779345d667703e
Disney,Company,PARTNERED_WITH,ESPN,Company,65c63ea9f187c085a866f68c::c0000,2023-07-09,including Apple Disney and ESPN decides they want a piece of the pie.,0.8,Disney,ESPN,disney,espn,b9aa51590a1f9be00427401b,743e8575f76a282c9989137d,ff0731abc7dc54bb5b37caffad483822
